level;intent;group_id;group;phrase;groups;active;imp;clicks;ctr;cpc;spend;spend_share;at_share;visits;leads;cr;cpl
group;5 Помещение;5774336372;Зеркальные перегородки | Межкомнатные;[зеркальные] [перегородки] [межкомнатные];1;1;48;6;12.5;73;437;0.5;100;6;0;0;
group;5 Помещение;5774336373;Зеркальные перегородки | Комнату;[зеркальная] [перегородка] [комнату];1;1;11;2;18.2;60;119;0.1;100;1;0;0;
group;5 Помещение;5774336445;Перегородки для гостиной;[перегородки] [для] [гостиной];1;1;18;0;0;0;0;0;0;0;0;0;
group;5 Помещение;5774336452;Перегородки для студии | Стеклянные;[стеклянные] [перегородки] [для] [студии];1;1;17;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336420;Складные перегородки | Гармошка;[складные] [перегородки] [гармошка];1;1;591;121;20.5;133;16152;17;95;110;4;3.3;4038
group;6 Уточнение исполнения;5774336377;Перегородки стекло металл;[перегородки] [стекло] [металл];1;1;438;58;13.2;223;12949;13.6;100;56;2;3.4;6475
group;6 Уточнение исполнения;5774336397;Каскадные перегородки | Раздвижные;[каскадные] [раздвижные] [перегородки];1;1;122;24;19.7;92;2198;2.3;79;20;0;0;
group;6 Уточнение исполнения;5774336374;Зеркальные перегородки | Раздвижные;[зеркальные] [раздвижные] [перегородки];1;1;69;16;23.2;116;1852;1.9;100;15;2;12.5;926
group;6 Уточнение исполнения;5774336422;Складные перегородки | Стеклянные Гармошка;[стеклянные] [перегородки] [гармошка];1;1;78;20;25.6;87;1750;1.8;87;19;2;10;875
group;6 Уточнение исполнения;5774336416;Складные перегородки | Стеклянные;[складные] [стеклянные] [перегородки];1;1;55;8;14.5;121;964;1;70;5;1;12.5;964
group;6 Уточнение исполнения;5774336363;Дизайнерские перегородки | Стеклянные;[дизайнерские] [стеклянные] [перегородки];1;1;28;5;17.9;171;857;0.9;100;4;0;0;
group;6 Уточнение исполнения;5774336409;Распашные перегородки | Стеклянные;[распашные] [стеклянные] [перегородки];1;1;39;5;12.8;160;802;0.8;67;3;0;0;
group;6 Уточнение исполнения;5774336412;Распашные перегородки | Маятниковой Дверью;[перегородка] [маятниковой] [дверью];1;1;38;3;7.9;236;709;0.7;74;3;0;0;
group;6 Уточнение исполнения;5774336385;Телескопические перегородки | Раздвижные;[телескопические] [раздвижные] [перегородки];1;1;29;7;24.1;94;661;0.7;40;6;0;0;
group;6 Уточнение исполнения;5774336349;Арочные перегородки | Стекла;[арочные] [перегородки] [стекла];1;1;19;3;15.8;218;654;0.7;100;1;0;0;
group;6 Уточнение исполнения;5774336355;Арочные перегородки | Дверью;[арочная] [перегородка] [дверью];1;1;25;5;20;88;439;0.5;100;5;0;0;
group;6 Уточнение исполнения;5774336438;Цветные декоративные перегородки;[цветные] [перегородки] / [цветные] [декоративные] [перегородки];1;1;37;2;5.4;160;320;0.3;38;1;0;0;
group;6 Уточнение исполнения;5774336427;Стальные перегородки | Черного Металла;[перегородки] [черного] [металла];1;1;27;1;3.7;85;85;0.1;100;2;0;0;
group;6 Уточнение исполнения;5774336351;Арочные перегородки | Стеклянные;[арочные] [стеклянные] [перегородки];1;1;1;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336361;Дизайнерские перегородки | Премиум Класса;[перегородки] [премиум] [класса];1;1;1;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336366;Дизайнерские перегородки | Дизайн Проекту;[перегородки] [дизайн] [проекту];1;1;15;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336387;Телескопические перегородки | Стеклянные;[телескопические] [перегородки] [стеклянные];1;1;12;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336393;Телескопические перегородки | Телескопическая Ключ;[телескопическая] [перегородка] [ключ];1;1;1;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336414;Распашные перегородки | Стеклянная Дверью;[распашная] [стеклянная] [перегородка] [дверью];1;1;8;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336431;Стальные перегородки | Черные Металлические;[черные] [металлические] [перегородки];1;0;0;0;0;0;0;0;0;0;0;0;
group;7 Базовый тип;5774336419;Складные перегородки;[складные] [перегородки];1;1;381;51;13.4;102;5183;5.4;29;50;4;7.8;1296
group;7 Базовый тип;5774336432;Стационарные перегородки;[стационарные] [перегородки];1;1;129;17;13.2;150;2551;2.7;5;16;0;0;
group;7 Базовый тип;5774336424;Стальные перегородки | Металлические;[металлические] [перегородки];1;1;418;25;6;88;2198;2.3;10;22;2;8;1099
group;7 Базовый тип;5774336378;Матовые перегородки;[матовые] [перегородки];1;1;158;21;13.3;101;2126;2.2;0;18;0;0;
group;7 Базовый тип;5774336408;Распашные перегородки;[распашные] [перегородки];1;1;98;17;17.3;106;1801;1.9;49;17;1;5.9;1801
group;7 Базовый тип;5774336357;Дизайнерские перегородки;[дизайнерские] [перегородки];1;1;38;11;28.9;132;1448;1.5;78;9;1;9.1;1448
group;7 Базовый тип;5774336425;Стальные перегородки;[стальные] [перегородки];1;1;88;8;9.1;136;1088;1.1;52;6;0;0;
group;7 Базовый тип;5774336352;Арочные перегородки | Радиусные;[радиусные] [перегородки];1;1;103;7;6.8;117;817;0.9;41;5;0;0;
group;7 Базовый тип;5774336392;Телескопические перегородки;[телескопические] [перегородки];1;1;77;7;9.1;117;817;0.9;18;9;1;14.3;817
