id;name;phrase;intent;cat;imp;clicks;spend;visits;leads;expected;p_chance;enough;tv;imp_pos;click_pos;utm_visits;utm_premium;utm_pos_avg;utm_pos1;utm_mobile
5774336370;Зеркальные перегородки | Зонирования;[зеркальные] [перегородки] [зонирования];4 Зонирование;B клики без лидов;45;9;609;7;0;0.29;0.75;мало данных;85;2.6;2.8;7;86;2.7;14;86
5774336367;Зеркальные перегородки;[зеркальные] [перегородки];7 Базовый тип;B клики без лидов;59;6;598;5;0;0.19;0.83;мало данных;86;3.1;2.8;6;83;2.3;33;67
5774336360;Дизайнерские перегородки | Зонирования;[дизайнерские] [перегородки] [зонирования];4 Зонирование;B клики без лидов;78;8;586;8;0;0.26;0.77;мало данных;89;2.2;2.5;9;89;1.9;56;78
5774336418;Складные перегородки | Зонирования;[складные] [перегородки] [зонирования];4 Зонирование;B клики без лидов;76;12;579;14;0;0.38;0.68;мало данных;80;2.7;2.2;14;93;2.6;36;57
5774336401;Каскадные перегородки | Заказ;[каскадные] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;27;5;545;6;0;0.16;0.85;мало данных;85;2;1.8;6;83;1.7;67;67
5774336421;Складные перегородки | Цена;[складные] [перегородки] [цена];2 Цена;B клики без лидов;59;8;531;6;0;0.26;0.77;мало данных;86;2.4;3.1;7;71;2.3;29;43
5774336426;Стальные перегородки | Стали;[перегородки] [стали];7 Базовый тип;B клики без лидов;77;5;527;5;0;0.16;0.85;мало данных;72;3.3;3.4;5;60;2.4;20;0
5774336428;Стальные перегородки | Металлические Межкомнатные;[металлические] [перегородки] [межкомнатные];5 Помещение;B клики без лидов;43;6;519;5;0;0.19;0.83;мало данных;73;2.4;1.8;5;60;1.8;60;60
5774336384;Матовые перегородки | Производителя;[матовые] [перегородки] [производителя];1 Заказ / покупка;B клики без лидов;38;3;497;8;0;0.1;0.91;мало данных;79;1.7;2;9;78;2.4;22;22
5774336449;Перегородки для гостиной | Зонирования;[перегородки] [для] [зонирования] [гостиной];4 Зонирование;B клики без лидов;45;5;481;5;0;0.16;0.85;мало данных;80;2.5;3;5;100;3;20;80
