id|site|cap|act
3659287905|41255|75900|E
3659287907|43084|82156|E
3659287910|57388|105900|E
3659288205|47775|87900|E
3659289973|50492|92900|E
3659291660|22438|41900|E
3659292452|77435|142900|E
3659292589|58471|107900|E
3659292807|45059|82900|E
3659292814|36907|67900|E
3659292878|43193|96899|M
3659293049|24311|44900|E
3659293050|11696|21900|E
3659293466|47775|87900|E
3659293721|29455|54900|E
3659293722|20023|38900|E
3659294068|52123|95900|E
3659294069|10083|19018|E
3659294150|42885|78900|E
3659294532|41255|75900|E
3659294926|41255|75900|E
3659294998|40168|73900|E
3659295000|46556|85656|E
3659295001|47775|87900|E
3659295193|47569|87521|E
3659295594|41798|76900|E
3659295939|36907|67900|E
3659295942|57388|105900|E
3659295944|25725|47900|E
3659296127|47775|87900|E
3659296256|43428|79900|E
3659297548|15978|30899|M
3659298852|27652|51900|E
3659298882|25383|45900|E
3659298894|31579|57900|E
3659301589|11696|21900|E
3659302010|13235|30900|E
3659302660|22438|41900|E
3659302793|23334|43900|E
3659304847|52666|96900|E
3659306234|25725|47900|E
3659307398|50498|92910|E
3659313049|22438|41900|E
3679101279|39081|71900|E
3679101282|49949|91900|E
3679101285|47775|87900|E
3679101288|41254|75899|M
3679101293|49949|91900|E
3679101296|56304|103900|E
3679101297|35277|64900|E
3679101298|33647|61900|E
3679101301|39081|71899|M
3679101304|35277|64900|E
3679101305|33647|61900|E
3679101310|41243|75878|E
3679101311|39081|71900|E
3679101312|39081|71900|E
3679101313|39081|71900|E
3679101319|49949|91900|E
3679101322|41255|75900|E
3679101325|49949|91900|E
3679101332|39081|71900|E
3679101335|56304|103900|E
3679101340|39081|71899|M
3679101341|56304|103900|E
3679101346|59555|109900|E
3679101352|47775|87900|E
3679101359|35277|64900|E
3679101365|56304|103900|E
3679101366|49121|90375|E
3679101371|56304|103900|E
3679101372|36364|66900|E
3679101374|52123|95900|E
3679101377|35277|64900|E
3679101378|40168|73900|E
3679101379|33647|61900|E
3679101381|49949|91900|E
3679101382|42342|77900|E
3679101384|47775|87900|E
3679101388|48934|90031|E
3679101390|47775|87900|E
3679101393|45059|82900|E
3679101397|56304|103900|E
3679101399|56304|103900|E
3679101402|41255|75900|E
3679101404|77435|142900|E
3679101416|57388|105900|E
3679101418|39081|71900|E
3679101423|39081|71900|E
3679101425|39081|71900|E
3679101426|39081|71900|E
3679101428|40168|73900|E
3679101431|41255|75900|E
3679101433|41255|75900|E
3679101434|43428|79900|E
3679101435|35277|64900|E
3679101441|36364|66900|E
3679101443|41255|75900|E
3679101444|39081|71900|E
3679101447|36907|67900|E
3679101448|49949|91900|E
3679101450|49949|91900|E
3679101453|35277|64900|E
3679101456|36364|66900|E
3679101460|39081|71900|E
3679101461|38146|70180|E
3685356928|41411|92900|E
3692136913|33647|61900|E
3692136919|33647|61900|E
3692136921|44515|81900|E
3692136922|38538|70900|E
3692136929|33647|61900|E
3692136935|38538|70900|E
3692136947|39081|71900|E
3692136956|38538|70900|E
3692136957|44515|81900|E
3692136970|33647|61900|E
3692136975|33647|61900|E
3692136978|44515|81900|E
3692136979|39081|71900|E
3692136985|44515|81900|E
3692136986|44515|81900|E
3692136988|44515|81900|E
3692136993|33647|61900|E
3692136996|44515|81900|E
3692136998|39081|71900|E
3692137005|44515|81900|E
3692274900|24311|44900|E
3692274901|24311|44900|E
3692274903|25935|47900|E
3692274906|28213|51900|E
3692274907|23334|43900|E
3692274908|20023|38900|E
3692274912|20023|38900|E
3692274913|25935|47900|E
3692274918|25935|47900|E
3692274922|23334|43900|E
3692274927|20023|38900|E
3692274928|25935|47900|E
3692274929|28212|51899|M
3692274934|22438|41900|E
3692274937|28213|51900|E
3692274940|28212|51899|M
3692274945|28213|51900|E
3692274946|23770|43900|E
3692274954|23334|43900|E
3692274958|24311|44900|E
3692274965|23334|43900|E
3692274968|25935|47900|E
3692274975|25935|47900|E
3692274977|24311|44900|E
3692274978|23334|43900|E
3692274988|28213|51900|E
3692274992|23334|43900|E
3692274993|25935|47900|E
3692274995|23334|43900|E
3692275000|23770|43900|E
3692275002|23770|43900|E
3692275006|22438|41900|E
3692275011|25935|47900|E
3692275012|24311|44900|E
3692275015|25935|47900|E
3692275020|25935|47900|E
3692275022|20023|38900|E
3692275026|22437|41899|M
3692275029|22438|41900|E
3692275044|25935|47900|E
3692275046|28213|51900|E
3692275054|23334|43900|E
3692275058|23334|43900|E
3692275059|25935|47900|E
3692275064|23770|43900|E
3692275065|28213|51900|E
3692275066|25935|47900|E
3692275077|28213|51900|E
3692275078|23334|43900|E
3692275083|25935|47900|E
3692275091|23334|43900|E
3692275093|22438|41900|E
3692275097|23770|43900|E
3698577145|40443|76900|E
3698658403|42857|81900|E
3875994277|66056|121899|M
3875994318|66056|121899|M
3875994357|66056|121899|M
3875994365|66056|121899|M
3875994422|66056|121900|E
3959300884|18135|35265|E
3959300961|18483|35611|E
3985286684|21190|39900|E
3985286687|21190|39900|E
3985286722|21190|39900|E
3985286755|21190|39900|E
3985286757|21190|39900|E
3985286768|21190|39900|E
3985286773|21190|39900|E
3985286805|21060|39900|E
3985286830|21190|39900|E
3985286876|21190|39900|E
3985286923|21190|39900|E
3985286983|21190|39900|E
