offer,model,cost_prod,section
GGT-03-3-4-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-3-4-L-90,TRUBIS L 400 Wood 90,11119,(ГГС) Мебель
GGT-03-3-4-O-18090,TRUBIS O Oval Wood 180,17047,(ГГС) Мебель
GGT-03-3-4-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-3-4-S-40,TRUBIS S Wood 40 белый / чёрный мр,8557,(ГГС) Мебель
GGT-03-3-5-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-3-5-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-3-5-E-14080-K,TRUBIS Oval 140 Керамический,26077,(ГГС) Мебель
GGT-03-3-5-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-3-5-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-3-5-L-100-K,TRUBIS L керамический D100,22598,(ГГС) Мебель
GGT-03-3-5-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-3-5-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-3-5-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-3-5-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-3-5-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-3-5-M-60,TRUBIS M Wood 60,11780,(ГГС) Мебель
GGT-03-3-5-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-3-5-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-3-5-O-18090-K,TRUBIS Oval 180 Керамический,37395,(ГГС) Мебель
GGT-03-3-5-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-3-5-O-20090-K,TRUBIS Oval 200 Керамический,38522,(ГГС) Мебель
GGT-03-3-5-S-40,TRUBIS S Wood 40 белый / белый мр,8557,(ГГС) Мебель
GGT-03-3-5-S-60,TRUBIS S Wood 60 белый / белый мр,9222,(ГГС) Мебель
GGT-03-3-6-L-90-12090,TRUBIS L Max D90/120 х 90,15949,(ГГС) Мебель
GGT-03-3-6-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-12-2,RILONI Black,4411,(ГГС) Мебель
GGT-12-3,RILONI White,4411,(ГГС) Мебель
GGT-20-1-1-110-140-70,VIOLUR Max 110/140 х 70,15067,(ГГС) Мебель
GGT-20-1-1-14080,VIOLUR овал 140,11642,(ГГС) Мебель
GGT-20-1-1-16080,VIOLUR овал 160,12490,(ГГС) Мебель
GGT-20-1-1-18090,VIOLUR овал 180,13410,(ГГС) Мебель
