Модель,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
2395*700 (горизонтальные рейки),"35 347,23",47%,5%,11%,63%
2395*800 (горизонтальные рейки,"40 041,79",47%,5%,11%,63%
2395*900 (горизонтальные рейки),"43 152,19",47%,5%,11%,63%
2395*1000 (вертикальные рейки),"46 062,59",47%,5%,11%,63%
,,,,,
,,,,,
(ГГС) Комплектующие (детали),С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
В ПРОДАЖЕ,,,,,
Подстолье Трубис S D400,"10 082,88",47%,7%,11%,65%
Подстолье Трубис M D600,"13 214,88",47%,7%,11%,65%
Подстолье Трубис L D400,"12 395,88",47%,7%,11%,65%
Подстолье Трубис O 500,"13 427,28",47%,7%,11%,65%
Подстолье Трубис O 700,"16 383,88",47%,7%,11%,65%
Подстолье Трубис R (прям) 500,"16 218,88",47%,7%,11%,65%
Подстолье Трубис Clever 350,"8 287,00",47%,7%,11%,65%
Подстолье Трубис Console 370,"9 114,40",47%,7%,11%,65%
Подстолье ARFEO - 1 ножка,"8 495,40",47%,7%,11%,65%
Подстолье VIOLUR - 1 ножка,"5 841,40",47%,7%,11%,65%
Подстолье VIOLUR - 2 ножки,"10 592,40",47%,7%,11%,65%
Столешница Круг ЛДСП D600,"2 807,04",41%,7%,11%,59%
Столешка Круг ЛДСП D800,"3 454,64",41%,7%,11%,59%
Столешка Круг ЛДСП D900,"4 274,24",41%,7%,11%,59%
Столешка Круг ЛДСП D1000,"4 869,44",41%,7%,11%,59%
Столешка Круг ЛДСП D1100,"5 457,04",41%,7%,11%,59%
Столешка Круг ЛДСП D1200,"5 970,24",41%,7%,11%,59%
Столешка Овал ЛДСП 120,"5 243,44",41%,7%,11%,59%
Столешка Овал ЛДСП 140,"5 419,04",41%,7%,11%,59%
Столешка Овал ЛДСП 160,"6 146,64",41%,7%,11%,59%
Столешка Овал ЛДСП 180,"9 311,21",41%,7%,11%,59%
Столешка Овал ЛДСП 200,"10 265,45",41%,7%,11%,59%
ТЕСТОВЫЕ РАСЧЁТЫ,,,,,
Зеркальное полотно БР 1350*500 овал,"3 112,46",53%,7%,11%,71%
Зеркальное полотно БР 1540*440 овал,"3 528,01",53%,7%,11%,71%
Зеркальное полотно БР 1760*560 овал,"4 414,65",53%,7%,11%,71%
Зеркальное полотно БР 1790*590 овал,"4 642,97",53%,7%,11%,71%
Зеркальное полотно БР 1958*958 овал,"6 634,57",53%,7%,11%,71%
Зеркальное полотно БР 1590*790 полукруг,"5 191,29",53%,7%,11%,71%
Зеркальное полотно БР 2000*1000 полукруг,"8 306,17",53%,7%,11%,71%
Зеркальное полотно БР 1690*690 прямоуг,"3 966,33",53%,7%,11%,71%
Зеркальное полотно БР 1819*419 прямоуг,"3 189,69",53%,7%,11%,71%
Зеркальное полотно БР 1957*958 прямоуг,"5 191,29",53%,7%,11%,71%
Зеркальное полотно БР 1990*790 прямоуг,"4 971,29",53%,7%,11%,71%
Зеркальное полотно БР 1590*590 арка,"4 304,65",53%,7%,11%,71%
Зеркальное полотно БР 1790*790 арка,"5 191,29",53%,7%,11%,71%
Зеркальное полотно БР 1490*490 сотка,"3 528,01",53%,7%,11%,71%
Зеркальное полотно БР 1790*540 сотка,"4 422,97",53%,7%,11%,71%
Зеркальное полотно БР D790 круг,"3 409,69",53%,7%,11%,71%
Зеркальное полотно БР D1000 круг,"4 186,33",53%,7%,11%,71%
,,,,,
,,,,,15%
(ГГР) Розница GENGLASS,С\С общая,-,-,-,Бонус ДИЗ 15%
Зеркала в раме,-,-,-,-,-
KVADRUM M,"6 459,00",,,,#VALUE!
KVADRUM L,"8 769,00",,,,#VALUE!
ZELISO-2,"16 140,00",,,,#VALUE!
WINDIX,"29 099,00",,,,#VALUE!
WINDIX XL,"32 523,00",,,,#VALUE!
KATARIS L,"65 175,00",,,,#VALUE!
KATARIS XL,"73 175,00",,,,#VALUE!
HALFEUM,"8 725,00",,,,#VALUE!
KUVINUM,"9 475,00",,,,#VALUE!
KELUR,"5 475,00",,,,#VALUE!
KRAUGS,"5 475,00",,,,#VALUE!
,"0,00",,,,
Зеркала безрамные с подсветкой,-,-,-,-,-
SKYSO ,"8 988,00",,,,#VALUE!
SKYSO 2,"19 105,00",,,,#VALUE!
SKYSIS ,"0,00",,,,#VALUE!
NUVOLUR 140,"16 745,00",,,,#VALUE!
NUVOLUR 180,"26 790,00",,,,#VALUE!
FALENSO,"15 443,00",,,,#VALUE!
VENTOSSO,"17 195,00",,,,#VALUE!
NUVOLIS,"10 822,00",,,,#VALUE!
KAPSUS,"8 475,00",,,,#VALUE!
,"0,00",,,,
Столы,-,-,-,-,-
TRUBIS L400 Wood+Glass 1000,"33 219,00",,,,#VALUE!
TRUBIS XL500 Wood+Glass 1200,"44 569,00",,,,#VALUE!
TRUBIS Clever 900*900,"20 401,00",,,,#VALUE!
TUBARIS 2000*900 Керамогранит,"84 322,00",,,,#VALUE!
TUBARIS 2000*900 Керамогранит белый,"104 562,00",,,,#VALUE!
TUBARIS 2000*900 Керамогранит черный,"112 118,00",,,,#VALUE!
TUBARIS 2200*900 Керамогранит,"86 531,00",,,,#VALUE!
TUBARIS 2200*900 Керамогранит белый,"106 771,00",,,,#VALUE!
TUBARIS 2200*900 Керамогранит черный,"113 327,00",,,,#VALUE!
TUBARIS 2500*1000 Керамогранит,"90 065,00",,,,#VALUE!
TUBARIS 2500*1000 Керамогранит белый,"110 305,00",,,,#VALUE!
TUBARIS 2500*1000 Керамогранит черный,"117 861,00",,,,#VALUE!
Обеденный TRUBIS Glass ФП 180,"23 725,00",,,,#VALUE!
Обеденный TRUBIS Glass ФП 180 R150,"24 975,00",,,,#VALUE!
Рабочий TRUBIS Glass ФП 180,"26 975,00",,,,#VALUE!
Рабочий TRUBIS Glass ФП 180 R150,"27 725,00",,,,#VALUE!
TRUBIS Wood KVADRAT,"27 144,00",,,,#VALUE!
TRUBIS Wood Rectangle 160,"15 475,00",,,,#VALUE!
TRUBIS Wood Rectangle 180,"16 225,00",,,,#VALUE!
TRUBIS Wood Rectangle 200,"16 975,00",,,,#VALUE!
KSILIUM 200 Керамогранит белый,"73 849,00",,,,#VALUE!
TULIPSO Стекло,"19 975,00",,,,#VALUE!
TULIPSO 180 Керамогранит,"57 952,00",,,,#VALUE!
GRESIO D120 Керамогранит,"39 286,00",,,,#VALUE!
GRESIO D120 Керамогранит травертин,"63 980,00",,,,#VALUE!
SELENTI D120 Керамогранит,"49 191,00",,,,#VALUE!
SELENTI D120 Керамогранит травертин,"73 885,00",,,,#VALUE!
EQVILIS стекло тон.,"29 975,00",,,,#VALUE!
PINGUM,"8 691,00",,,,#VALUE!
DUPINGUM,"14 309,00",,,,#VALUE!
BEYSO Glass б\цв 180,"19 759,00",,,,#VALUE!
BEYSO Glass осв 180,"27 309,00",,,,#VALUE!
BEYSO Glass тон 180,"26 209,00",,,,#VALUE!
BEYSO Glass б\цв 160,"18 409,00",,,,#VALUE!
BEYSO Glass осв 160,"24 809,00",,,,#VALUE!
BEYSO Glass тон 160,"24 809,00",,,,#VALUE!
VETLIX Glass б\цв,"14 309,00",,,,#VALUE!
VETLIX Glass осв ,"29 009,00",,,,#VALUE!
IKSUM D120 Керамогранит,"41 241,00",,,,#VALUE!
KALURIS 200 Керамогранит,"96 394,00",,,,#VALUE!
MOANIX D120 Керамогранит,"40 658,00",,,,#VALUE!
SUNVIO D120 Керамогранит,"47 215,00",,,,#VALUE!
SUNVIO D120 Керамогранит травертин,"71 909,00",,,,#VALUE!
LINBOW Wood 2000*800,"28 725,00",,,,#VALUE!
LINBOW Glass 2000*800,"34 975,00",,,,#VALUE!
TEYDOR 1600*700,"13 725,00",,,,#VALUE!
ARFEO Duo 180,"12 225,00",,,,#VALUE!
ARFEO Duo 200,"12 475,00",,,,#VALUE!
RONDO ,"12 475,00",,,,#VALUE!
BAAKIS б\цв стекло 160,"11 225,00",,,,#VALUE!
